price_paid,deed_date,postcode,paon,street,town,district,dataset
423948,2014-05-01,,,,London,lambeth,dataset
435515,2014-06-01,,,,London,lambeth,dataset
446019,2014-07-01,,,,London,lambeth,dataset
449302,2014-08-01,,,,London,lambeth,dataset
462535,2014-09-01,,,,London,lambeth,dataset
463981,2014-10-01,,,,London,lambeth,dataset
457791,2014-11-01,,,,London,lambeth,dataset
447526,2014-12-01,,,,London,lambeth,dataset
441235,2015-01-01,,,,London,lambeth,dataset
438618,2015-02-01,,,,London,lambeth,dataset
443179,2015-03-01,,,,London,lambeth,dataset
445243,2015-04-01,,,,London,lambeth,dataset
459887,2015-05-01,,,,London,lambeth,dataset
467797,2015-06-01,,,,London,lambeth,dataset
484640,2015-07-01,,,,London,lambeth,dataset
499510,2015-08-01,,,,London,lambeth,dataset
508248,2015-09-01,,,,London,lambeth,dataset
499211,2015-10-01,,,,London,lambeth,dataset
487265,2015-11-01,,,,London,lambeth,dataset
484535,2015-12-01,,,,London,lambeth,dataset
491178,2016-01-01,,,,London,lambeth,dataset
501992,2016-02-01,,,,London,lambeth,dataset
512536,2016-03-01,,,,London,lambeth,dataset
514092,2016-04-01,,,,London,lambeth,dataset
510867,2016-05-01,,,,London,lambeth,dataset
509850,2016-06-01,,,,London,lambeth,dataset
522676,2016-07-01,,,,London,lambeth,dataset
529867,2016-08-01,,,,London,lambeth,dataset
530361,2016-09-01,,,,London,lambeth,dataset
521630,2016-10-01,,,,London,lambeth,dataset
517641,2016-11-01,,,,London,lambeth,dataset
512058,2016-12-01,,,,London,lambeth,dataset
509710,2017-01-01,,,,London,lambeth,dataset
506451,2017-02-01,,,,London,lambeth,dataset
503506,2017-03-01,,,,London,lambeth,dataset
502913,2017-04-01,,,,London,lambeth,dataset
510549,2017-05-01,,,,London,lambeth,dataset
522510,2017-06-01,,,,London,lambeth,dataset
532281,2017-07-01,,,,London,lambeth,dataset
533469,2017-08-01,,,,London,lambeth,dataset
531074,2017-09-01,,,,London,lambeth,dataset
521819,2017-10-01,,,,London,lambeth,dataset
518991,2017-11-01,,,,London,lambeth,dataset
515919,2017-12-01,,,,London,lambeth,dataset
300000,2015-01-01,,21,BODLEY MANOR WAY,LONDON,LAMBETH,RICS
275000,2015-01-15,,31,SCARLETTE MANOR WAY,LONDON,LAMBETH,RICS
360000,2015-01-30,,13,HARDEL WALK,LONDON,LAMBETH,RICS
375000,2015-02-15,,35,HARDEL WALK,LONDON,LAMBETH,RICS
375000,2015-02-28,,47,HARDEL WALK,LONDON,LAMBETH,RICS
375000,2015-03-15,,70,HARDEL WALK,LONDON,LAMBETH,RICS
365000,2015-03-30,,82,HARDEL WALK,LONDON,LAMBETH,RICS
404114,2019-01-01,,21,BODLEY MANOR WAY,LONDON,1BED-LAMBETH,NEW-BUILD
445536,2021-01-01,,21,BODLEY MANOR WAY,LONDON,1BED-LAMBETH,NEW-BUILD
491203,2023-01-01,,21,BODLEY MANOR WAY,LONDON,1BED-LAMBETH,NEW-BUILD
565759,2019-02-01,,47,HARDEL WALK,LONDON,2BED-LAMBETH,NEW-BUILD
623750,2021-02-01,,47,HARDEL WALK,LONDON,2BED-LAMBETH,NEW-BUILD
687684,2023-02-01,,47,HARDEL WALK,LONDON,2BED-LAMBETH,NEW-BUILD
751652,2019-03-01,,70,HARDEL WALK,LONDON,3BED-LAMBETH,NEW-BUILD
828696,2021-03-01,,70,HARDEL WALK,LONDON,3BED-LAMBETH,NEW-BUILD
913638,2023-03-01,,70,HARDEL WALK,LONDON,3BED-LAMBETH,NEW-BUILD
