price_paid,deed_date,postcode,paon,street,town,district,dataset,tag
71762,1996-03-01,,,,London,lambeth,dataset,lambeth average
71664,1996-04-01,,,,London,lambeth,dataset,lambeth average
71386,1996-05-01,,,,London,lambeth,dataset,lambeth average
73469,1996-06-01,,,,London,lambeth,dataset,lambeth average
73809,1996-07-01,,,,London,lambeth,dataset,lambeth average
72820,1996-08-01,,,,London,lambeth,dataset,lambeth average
72935,1996-09-01,,,,London,lambeth,dataset,lambeth average
72307,1996-10-01,,,,London,lambeth,dataset,lambeth average
73356,1996-11-01,,,,London,lambeth,dataset,lambeth average
74737,1996-12-01,,,,London,lambeth,dataset,lambeth average
78248,1997-01-01,,,,London,lambeth,dataset,lambeth average
79064,1997-02-01,,,,London,lambeth,dataset,lambeth average
79199,1997-03-01,,,,London,lambeth,dataset,lambeth average
77778,1997-04-01,,,,London,lambeth,dataset,lambeth average
81000,1997-05-01,,,,London,lambeth,dataset,lambeth average
85372,1997-06-01,,,,London,lambeth,dataset,lambeth average
91999,1997-07-01,,,,London,lambeth,dataset,lambeth average
91972,1997-08-01,,,,London,lambeth,dataset,lambeth average
92522,1997-09-01,,,,London,lambeth,dataset,lambeth average
89224,1997-10-01,,,,London,lambeth,dataset,lambeth average
91413,1997-11-01,,,,London,lambeth,dataset,lambeth average
93057,1997-12-01,,,,London,lambeth,dataset,lambeth average
96231,1998-01-01,,,,London,lambeth,dataset,lambeth average
97302,1998-02-01,,,,London,lambeth,dataset,lambeth average
96672,1998-03-01,,,,London,lambeth,dataset,lambeth average
97598,1998-04-01,,,,London,lambeth,dataset,lambeth average
99378,1998-05-01,,,,London,lambeth,dataset,lambeth average
104807,1998-06-01,,,,London,lambeth,dataset,lambeth average
107921,1998-07-01,,,,London,lambeth,dataset,lambeth average
109637,1998-08-01,,,,London,lambeth,dataset,lambeth average
108289,1998-09-01,,,,London,lambeth,dataset,lambeth average
107016,1998-10-01,,,,London,lambeth,dataset,lambeth average
106182,1998-11-01,,,,London,lambeth,dataset,lambeth average
107116,1998-12-01,,,,London,lambeth,dataset,lambeth average
106119,1999-01-01,,,,London,lambeth,dataset,lambeth average
107158,1999-02-01,,,,London,lambeth,dataset,lambeth average
106659,1999-03-01,,,,London,lambeth,dataset,lambeth average
109746,1999-04-01,,,,London,lambeth,dataset,lambeth average
112374,1999-05-01,,,,London,lambeth,dataset,lambeth average
112867,1999-06-01,,,,London,lambeth,dataset,lambeth average
117305,1999-07-01,,,,London,lambeth,dataset,lambeth average
120470,1999-08-01,,,,London,lambeth,dataset,lambeth average
125138,1999-09-01,,,,London,lambeth,dataset,lambeth average
125678,1999-10-01,,,,London,lambeth,dataset,lambeth average
126668,1999-11-01,,,,London,lambeth,dataset,lambeth average
129214,1999-12-01,,,,London,lambeth,dataset,lambeth average
132007,2000-01-01,,,,London,lambeth,dataset,lambeth average
135770,2000-02-01,,,,London,lambeth,dataset,lambeth average
136645,2000-03-01,,,,London,lambeth,dataset,lambeth average
142636,2000-04-01,,,,London,lambeth,dataset,lambeth average
145228,2000-05-01,,,,London,lambeth,dataset,lambeth average
149818,2000-06-01,,,,London,lambeth,dataset,lambeth average
148317,2000-07-01,,,,London,lambeth,dataset,lambeth average
151419,2000-08-01,,,,London,lambeth,dataset,lambeth average
154821,2000-09-01,,,,London,lambeth,dataset,lambeth average
157638,2000-10-01,,,,London,lambeth,dataset,lambeth average
161435,2000-11-01,,,,London,lambeth,dataset,lambeth average
160732,2000-12-01,,,,London,lambeth,dataset,lambeth average
160849,2001-01-01,,,,London,lambeth,dataset,lambeth average
155593,2001-02-01,,,,London,lambeth,dataset,lambeth average
155945,2001-03-01,,,,London,lambeth,dataset,lambeth average
157274,2001-04-01,,,,London,lambeth,dataset,lambeth average
164437,2001-05-01,,,,London,lambeth,dataset,lambeth average
167111,2001-06-01,,,,London,lambeth,dataset,lambeth average
169085,2001-07-01,,,,London,lambeth,dataset,lambeth average
169960,2001-08-01,,,,London,lambeth,dataset,lambeth average
169825,2001-09-01,,,,London,lambeth,dataset,lambeth average
168657,2001-10-01,,,,London,lambeth,dataset,lambeth average
167426,2001-11-01,,,,London,lambeth,dataset,lambeth average
170055,2001-12-01,,,,London,lambeth,dataset,lambeth average
177905,2002-01-01,,,,London,lambeth,dataset,lambeth average
178205,2002-02-01,,,,London,lambeth,dataset,lambeth average
179062,2002-03-01,,,,London,lambeth,dataset,lambeth average
176703,2002-04-01,,,,London,lambeth,dataset,lambeth average
181198,2002-05-01,,,,London,lambeth,dataset,lambeth average
186023,2002-06-01,,,,London,lambeth,dataset,lambeth average
192324,2002-07-01,,,,London,lambeth,dataset,lambeth average
200269,2002-08-01,,,,London,lambeth,dataset,lambeth average
203606,2002-09-01,,,,London,lambeth,dataset,lambeth average
203613,2002-10-01,,,,London,lambeth,dataset,lambeth average
201927,2002-11-01,,,,London,lambeth,dataset,lambeth average
204576,2002-12-01,,,,London,lambeth,dataset,lambeth average
205905,2003-01-01,,,,London,lambeth,dataset,lambeth average
207346,2003-02-01,,,,London,lambeth,dataset,lambeth average
203618,2003-03-01,,,,London,lambeth,dataset,lambeth average
201857,2003-04-01,,,,London,lambeth,dataset,lambeth average
197154,2003-05-01,,,,London,lambeth,dataset,lambeth average
196732,2003-06-01,,,,London,lambeth,dataset,lambeth average
198036,2003-07-01,,,,London,lambeth,dataset,lambeth average
203688,2003-08-01,,,,London,lambeth,dataset,lambeth average
206706,2003-09-01,,,,London,lambeth,dataset,lambeth average
206501,2003-10-01,,,,London,lambeth,dataset,lambeth average
206517,2003-11-01,,,,London,lambeth,dataset,lambeth average
206467,2003-12-01,,,,London,lambeth,dataset,lambeth average
212766,2004-01-01,,,,London,lambeth,dataset,lambeth average
211752,2004-02-01,,,,London,lambeth,dataset,lambeth average
213243,2004-03-01,,,,London,lambeth,dataset,lambeth average
213974,2004-04-01,,,,London,lambeth,dataset,lambeth average
216127,2004-05-01,,,,London,lambeth,dataset,lambeth average
220817,2004-06-01,,,,London,lambeth,dataset,lambeth average
223564,2004-07-01,,,,London,lambeth,dataset,lambeth average
